,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/  1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
145,138.0,French Polynesia,72847,,649.0,,,,,7.0,256545.0,2286.0,,,283954.0,Australia/Oceania,4.0,438.0,,,,136283.0
146,139.0,Eswatini,72024,90.0,1404.0,1.0,69931.0,113.0,689.0,11.0,60898.0,1187.0,1023290.0,865215.0,1182700.0,Africa,16.0,842.0,1.0,76.0,0.8,583.0
147,140.0,Fiji,64841,17.0,862.0,,62931.0,56.0,1048.0,,71361.0,949.0,520908.0,573288.0,908632.0,Australia/Oceania,14.0,1054.0,2.0,19.0,,1153.0
148,141.0,Madagascar,64276,,1393.0,,59370.0,,3513.0,6.0,2214.0,48.0,435827.0,15015.0,29026048.0,Africa,452.0,20837.0,67.0,,,121.0
149,142.0,Guyana,64082,62.0,1229.0,1.0,62400.0,54.0,453.0,,80741.0,1548.0,616015.0,776158.0,793672.0,South America,12.0,646.0,1.0,78.0,1.0,571.0
150,143.0,Sudan,62211,,4937.0,,,,,,1359.0,108.0,562941.0,12300.0,45769402.0,Africa,736.0,9271.0,81.0,,,370.0
151,144.0,New Caledonia,61514,,312.0,,60620.0,,582.0,9.0,211645.0,1073.0,98964.0,340496.0,290647.0,Australia/Oceania,5.0,932.0,3.0,,,2002.0
152,145.0,Bhutan,59574,,21.0,,59509.0,,44.0,,75645.0,27.0,2303734.0,2925198.0,787548.0,Asia,13.0,37502.0,0.0,,,56.0
153,146.0,Mauritania,58939,19.0,982.0,,57738.0,12.0,219.0,,12080.0,201.0,821558.0,168392.0,4878856.0,Africa,83.0,4968.0,6.0,4.0,,45.0
154,147.0,Belize,58332,117.0,677.0,,56861.0,27.0,794.0,6.0,141869.0,1647.0,554293.0,1348094.0,411168.0,North America,7.0,607.0,1.0,285.0,,1931.0
155,148.0,Cabo Verde,56127,,401.0,,55640.0,,86.0,23.0,98934.0,707.0,400982.0,706805.0,567316.0,Africa,10.0,1415.0,1.0,,,152.0
156,149.0,Syria,55875,2.0,3150.0,,52570.0,12.0,155.0,,3054.0,172.0,146269.0,7994.0,18297967.0,Asia,327.0,5809.0,125.0,0.1,,8.0
157,150.0,Gabon,47608,,304.0,,47297.0,,7.0,,20483.0,131.0,1594523.0,686043.0,2324231.0,Africa,49.0,7645.0,1.0,,,3.0
158,151.0,Papua New Guinea,44394,,651.0,,43726.0,,17.0,7.0,4792.0,70.0,249149.0,26892.0,9264924.0,Australia/Oceania,209.0,14232.0,37.0,,,2.0
159,152.0,Seychelles,43235,,167.0,,42553.0,,515.0,,434571.0,1679.0,,,99489.0,Africa,2.0,596.0,,,,5176.0
160,153.0,Curaçao,43017,,275.0,,42203.0,,539.0,3.0,260154.0,1663.0,496693.0,3003852.0,165352.0,North America,4.0,601.0,0.0,,,3260.0
161,154.0,Andorra,42572,,153.0,,41757.0,,662.0,14.0,549337.0,1974.0,249838.0,3223841.0,77497.0,Europe,2.0,507.0,0.0,,,8542.0
162,155.0,Burundi,41606,76.0,38.0,,,,,,3314.0,3.0,345742.0,27539.0,12554858.0,Africa,302.0,330391.0,36.0,6.0,,3249.0
163,156.0,Mauritius,37930,18.0,996.0,,36274.0,19.0,660.0,,29732.0,781.0,358675.0,281153.0,1275727.0,Africa,34.0,1281.0,4.0,14.0,,517.0
164,157.0,Mayotte,37523,,187.0,,2964.0,,34372.0,,131586.0,656.0,176919.0,620420.0,285160.0,Africa,8.0,1525.0,2.0,,,120536.0
165,158.0,Togo,37034,5.0,273.0,,36740.0,4.0,21.0,,4285.0,32.0,737135.0,85291.0,8642624.0,Africa,233.0,31658.0,12.0,0.6,,2.0
166,159.0,Guinea,36597,,442.0,,36113.0,,42.0,8.0,2652.0,32.0,660107.0,47831.0,13800815.0,Africa,377.0,31224.0,21.0,,,3.0
167,160.0,Aruba,35693,,213.0,,35199.0,,281.0,,331670.0,1979.0,177885.0,1652961.0,107616.0,North America,3.0,505.0,1.0,,,2611.0
168,161.0,Tanzania,35354,,840.0,,,,,7.0,562.0,13.0,,,62924793.0,Africa,1780.0,74910.0,,,,546.0
169,162.0,Faeroe Islands,34658,,28.0,,,,,5.0,704273.0,569.0,778000.0,15809473.0,49211.0,Europe,1.0,1758.0,0.0,,,547378.0
170,163.0,Bahamas,34060,49.0,810.0,9.0,32553.0,14.0,697.0,,85088.0,2024.0,233473.0,583255.0,400293.0,North America,12.0,494.0,2.0,122.0,22.0,1741.0
