,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
184,177.0,Tajikistan,17388,,124.0,,17264.0,,0.0,,1751.0,12.0,,,9929452.0,Asia,571.0,80076.0,,,,
185,178.0,Liechtenstein,17199,,84.0,,17016.0,22.0,99.0,1.0,448732.0,2192.0,102174.0,2665780.0,38328.0,Europe,2.0,456.0,0.0,,,2583.0
186,179.0,San Marino,16476,39.0,115.0,,16059.0,99.0,302.0,4.0,483706.0,3376.0,152231.0,4469233.0,34062.0,Europe,2.0,296.0,0.0,1145.0,,8866.0
187,180.0,Equatorial Guinea,15907,,183.0,,15698.0,,26.0,5.0,10696.0,123.0,310972.0,209091.0,1487259.0,Africa,93.0,8127.0,5.0,,,17.0
188,181.0,Solomon Islands,15677,,141.0,,14109.0,,1427.0,2.0,21844.0,196.0,5117.0,7130.0,717690.0,Australia/Oceania,46.0,5090.0,140.0,,,1988.0
189,182.0,Djibouti,15631,,189.0,,15427.0,,15.0,,15411.0,186.0,305941.0,301632.0,1014285.0,Africa,65.0,5367.0,3.0,,,15.0
190,183.0,Grenada,14743,,220.0,,14111.0,,412.0,4.0,129921.0,1939.0,150740.0,1328375.0,113477.0,North America,8.0,516.0,1.0,,,3631.0
191,184.0,CAR,14649,,113.0,,6859.0,,7677.0,2.0,2940.0,23.0,81294.0,16313.0,4983380.0,Africa,340.0,44101.0,61.0,,,1541.0
192,185.0,Bermuda,13488,,131.0,,12981.0,,376.0,,218051.0,2118.0,876273.0,14166109.0,61857.0,North America,5.0,472.0,0.0,,,6079.0
193,186.0,Dominica,12161,,63.0,,12025.0,,73.0,,168172.0,871.0,191084.0,2642457.0,72313.0,North America,6.0,1148.0,0.0,,,1010.0
194,187.0,Gambia,11995,,365.0,,11591.0,,39.0,,4721.0,144.0,155686.0,61274.0,2540819.0,Africa,212.0,6961.0,16.0,,,15.0
195,188.0,Greenland,11971,,21.0,,2761.0,,9189.0,4.0,210202.0,369.0,164926.0,2895979.0,56950.0,North America,5.0,2712.0,0.0,,,161352.0
196,189.0,Yemen,11818,,2149.0,,9009.0,,660.0,23.0,381.0,69.0,265253.0,8549.0,31027427.0,Asia,2625.0,14438.0,117.0,,,21.0
197,190.0,Monaco,11801,30.0,54.0,,11638.0,22.0,109.0,4.0,296873.0,1358.0,54960.0,1382607.0,39751.0,Europe,3.0,736.0,1.0,755.0,,2742.0
198,191.0,Saint Martin,10462,,63.0,,1399.0,,9000.0,7.0,262390.0,1580.0,112382.0,2818569.0,39872.0,North America,4.0,633.0,0.0,,,225722.0
199,192.0,Tonga,10452,132.0,11.0,,9127.0,204.0,1314.0,,96879.0,102.0,470236.0,4358597.0,107887.0,Australia/Oceania,10.0,9808.0,0.0,1224.0,,12179.0
200,193.0,Sint Maarten,10065,29.0,86.0,,9913.0,35.0,66.0,10.0,229968.0,1965.0,62056.0,1417872.0,43767.0,North America,4.0,509.0,1.0,663.0,,1508.0
201,194.0,Eritrea,9734,,103.0,,9631.0,,0.0,,2677.0,28.0,23693.0,6516.0,3636219.0,Africa,374.0,35303.0,153.0,,,
202,195.0,Caribbean Netherlands,9729,,34.0,,9619.0,,76.0,,364806.0,1275.0,30126.0,1129626.0,26669.0,North America,3.0,784.0,1.0,,,2850.0
203,196.0,Samoa,9592,,19.0,,1605.0,,7968.0,4.0,47763.0,95.0,65949.0,328389.0,200826.0,Australia/Oceania,21.0,10570.0,3.0,,,39676.0
204,197.0,Niger,8943,2.0,309.0,,8524.0,,110.0,1.0,347.0,12.0,250490.0,9706.0,25808567.0,Africa,2886.0,83523.0,103.0,0.08,,4.0
205,198.0,Guinea-Bissau,8202,,171.0,,7528.0,,503.0,6.0,3995.0,83.0,134285.0,65407.0,2053070.0,Africa,250.0,12006.0,15.0,,,245.0
206,199.0,Comoros,8100,,160.0,,7933.0,,7.0,,8965.0,177.0,,,903482.0,Africa,112.0,5647.0,,,,8.0
207,200.0,Sierra Leone,7681,,125.0,,,,,,928.0,15.0,259958.0,31420.0,8273700.0,Africa,1077.0,66190.0,32.0,,,331.0
208,201.0,Antigua and Barbuda,7626,,136.0,,7443.0,,47.0,1.0,76710.0,1368.0,18901.0,190126.0,99413.0,North America,13.0,731.0,5.0,,,473.0
209,202.0,Vanuatu,7507,,13.0,,6768.0,,726.0,4.0,23439.0,41.0,24976.0,77984.0,320272.0,Australia/Oceania,43.0,24636.0,13.0,,,2267.0
210,203.0,Liberia,7434,,294.0,,5747.0,,1393.0,2.0,1409.0,56.0,139824.0,26506.0,5275091.0,Africa,710.0,17942.0,38.0,,,264.0
211,204.0,Chad,7412,1.0,193.0,,4874.0,,2345.0,,429.0,11.0,191341.0,11068.0,17287744.0,Africa,2332.0,89574.0,90.0,0.06,,136.0
212,205.0,St. Vincent Grenadines,6786,,106.0,,6641.0,,39.0,,60815.0,950.0,98944.0,886714.0,111585.0,North America,16.0,1053.0,1.0,,,350.0
213,206.0,British Virgin Islands,6355,,62.0,,,,,1.0,207687.0,2026.0,103049.0,3367724.0,30599.0,North America,5.0,494.0,0.0,,,3366.0
214,207.0,Sao Tome and Principe,5964,7.0,73.0,,5884.0,4.0,7.0,,26319.0,322.0,29036.0,128135.0,226604.0,Africa,38.0,3104.0,8.0,31.0,,31.0
215,208.0,Turks and Caicos,5963,,36.0,,5862.0,,65.0,4.0,150296.0,907.0,488787.0,12319773.0,39675.0,North America,7.0,1102.0,0.0,,,1638.0
216,209.0,Saint Kitts and Nevis,5566,,43.0,,5519.0,,4.0,,103290.0,798.0,70707.0,1312135.0,53887.0,North America,10.0,1253.0,1.0,,,74.0
217,210.0,Cook Islands,5116,46.0,1.0,,4863.0,75.0,252.0,,290797.0,57.0,16762.0,952765.0,17593.0,Australia/Oceania,3.0,17593.0,1.0,2615.0,,14324.0
